ts	cluster_label	model_version	f_temp_out	f_out_hum	f_bar	f_wind_speed	f_rain_rate	f_solar_rad	f_uv_index
2024-11-17 13:30:00+00:00	2	pca3_kmeans_v1	4.7	85.0	1011.7	0.0	0.0	47.0	0.0
2024-11-17 14:00:00+00:00	2	pca3_kmeans_v1	4.6	86.0	1011.0	0.0	0.0	31.0	0.0
2024-11-17 14:30:00+00:00	2	pca3_kmeans_v1	4.3	88.0	1011.0	0.0	3.0	11.0	0.0
2024-11-17 15:00:00+00:00	2	pca3_kmeans_v1	4.5	86.0	1010.9	0.0	0.0	31.0	0.0
2024-11-17 15:30:00+00:00	2	pca3_kmeans_v1	4.2	87.0	1010.8	0.0	0.0	30.0	0.0
2024-11-17 16:00:00+00:00	2	pca3_kmeans_v1	4.0	89.0	1010.9	0.0	0.0	7.0	0.0
2024-11-17 16:30:00+00:00	2	pca3_kmeans_v1	3.6	89.0	1010.5	0.0	2.6	0.0	0.0
2024-11-17 17:00:00+00:00	2	pca3_kmeans_v1	3.6	88.0	1010.7	0.0	0.0	0.0	0.0
2024-11-17 17:30:00+00:00	2	pca3_kmeans_v1	3.8	87.0	1010.3	0.0	0.0	0.0	0.0
2024-11-17 18:00:00+00:00	2	pca3_kmeans_v1	3.9	87.0	1010.6	0.0	0.0	0.0	0.0
2024-11-17 18:30:00+00:00	2	pca3_kmeans_v1	3.9	86.0	1010.5	0.0	0.0	0.0	0.0
2024-11-17 19:00:00+00:00	2	pca3_kmeans_v1	3.7	86.0	1010.5	0.0	0.0	0.0	0.0
2024-11-17 19:30:00+00:00	2	pca3_kmeans_v1	3.6	87.0	1010.5	0.0	0.0	0.0	0.0
2024-11-17 20:00:00+00:00	2	pca3_kmeans_v1	3.7	86.0	1010.2	0.0	0.0	0.0	0.0
2024-11-17 20:30:00+00:00	2	pca3_kmeans_v1	3.4	87.0	1010.3	0.0	0.0	0.0	0.0
2024-11-17 21:00:00+00:00	2	pca3_kmeans_v1	3.5	87.0	1010.4	0.0	0.0	0.0	0.0
2024-11-17 21:30:00+00:00	2	pca3_kmeans_v1	3.4	88.0	1010.5	0.0	0.0	0.0	0.0
2024-11-17 22:00:00+00:00	2	pca3_kmeans_v1	3.3	89.0	1010.3	0.0	0.0	0.0	0.0
2024-11-17 22:30:00+00:00	2	pca3_kmeans_v1	3.6	89.0	1010.3	0.0	0.0	0.0	0.0
2024-11-17 23:00:00+00:00	2	pca3_kmeans_v1	3.3	89.0	1010.5	0.0	0.0	0.0	0.0
2024-11-17 23:30:00+00:00	2	pca3_kmeans_v1	3.4	90.0	1010.4	0.0	0.0	0.0	0.0
2024-11-18 00:00:00+00:00	2	pca3_kmeans_v1	3.2	90.0	1010.8	0.0	0.0	0.0	0.0
2024-11-18 00:30:00+00:00	2	pca3_kmeans_v1	3.2	90.0	1010.7	0.0	0.0	0.0	0.0
2024-11-18 01:00:00+00:00	2	pca3_kmeans_v1	3.3	90.0	1010.6	0.0	0.0	0.0	0.0
2024-11-18 01:30:00+00:00	2	pca3_kmeans_v1	3.2	91.0	1010.7	0.0	0.0	0.0	0.0
2024-11-18 02:00:00+00:00	2	pca3_kmeans_v1	3.2	91.0	1011.0	0.0	0.0	0.0	0.0
2024-11-18 02:30:00+00:00	2	pca3_kmeans_v1	3.2	91.0	1010.8	0.0	0.0	0.0	0.0
2024-11-18 03:00:00+00:00	2	pca3_kmeans_v1	2.9	91.0	1010.9	0.0	0.0	0.0	0.0
2024-11-18 03:30:00+00:00	2	pca3_kmeans_v1	2.5	90.0	1011.1	0.0	0.0	0.0	0.0
2024-11-18 04:00:00+00:00	2	pca3_kmeans_v1	2.6	85.0	1011.1	0.0	0.0	0.0	0.0
2024-11-18 04:30:00+00:00	2	pca3_kmeans_v1	2.2	83.0	1011.3	0.0	0.0	0.0	0.0
2024-11-18 05:00:00+00:00	2	pca3_kmeans_v1	1.6	85.0	1011.6	0.0	0.0	0.0	0.0
2024-11-18 05:30:00+00:00	2	pca3_kmeans_v1	0.9	88.0	1011.6	0.0	0.0	0.0	0.0
2024-11-18 06:00:00+00:00	2	pca3_kmeans_v1	0.8	89.0	1011.7	0.0	0.0	0.0	0.0
2024-11-18 06:30:00+00:00	2	pca3_kmeans_v1	0.2	91.0	1011.9	0.0	0.0	0.0	0.0
2024-11-18 07:00:00+00:00	2	pca3_kmeans_v1	0.1	91.0	1012.0	0.0	0.0	0.0	0.0
2024-11-18 07:30:00+00:00	2	pca3_kmeans_v1	-0.4	88.0	1012.3	0.0	0.0	0.0	0.0
2024-11-18 08:00:00+00:00	2	pca3_kmeans_v1	-0.1	89.0	1012.5	0.0	0.0	5.0	0.0
2024-11-18 08:30:00+00:00	2	pca3_kmeans_v1	-0.3	87.0	1012.6	0.0	0.0	23.0	0.0
2024-11-18 09:00:00+00:00	2	pca3_kmeans_v1	-0.1	89.0	1012.3	0.0	0.0	43.0	0.0
2024-11-18 09:30:00+00:00	2	pca3_kmeans_v1	0.4	87.0	1012.5	0.0	0.0	46.0	0.0
